workload,seed,query_id,algorithm,latency_ms,recall_at_10,valid_result_rate,exact_subset_size,subset_size_estimate,subset_estimate_error,estimate_num_cells,estimate_avg_cell_size,query_window_width,price_range_width,category_present,candidate_count,filtered_out_count,visited_partitions,ann_expansion_rounds,exact_distance_computations,planner_type,planner_mode,planner_feature_subset_size,planner_feature_num_cells,planner_feature_avg_cell_size,planner_feature_query_window_width,planner_feature_price_range_width,planner_feature_category_present,planner_feature_active_records,planner_feature_tombstoned_records,planner_feature_tombstone_ratio,planner_feature_open_ended_fraction,planner_feature_fragmentation_score,best_mode,best_mode_latency_ms,best_mode_recall_at_10,planner_matched_best_mode,planner_latency_regret,planner_recall_gap,active_records,tombstoned_records,tombstone_ratio,rebuild_count,cell_rebuild_count,maintenance_rebuild_count,maintenance_cell_rebuild_count,compaction_count,deleted_record_count,expired_record_count,open_ended_fraction,index_visible_size
static_n5000_d32,11,5,partition_ann,0.04729995271191001,1.0,1.0,0,0,0.0,0,0.0,18,9.71717955142654,1,0,0,0,0,0,,,,,,,,0,,,,,,partition_ann,0.04729995271191001,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,5,hybrid,0.3078999579884112,1.0,1.0,0,0,0.0,0,0.0,18,9.71717955142654,1,0,5000,0,0,0,RuleBasedPlanner,exact,0,0,0.0,18,9.71717955142654,1,5000,0,0.0,0.0,0.0,partition_ann,0.04729995271191001,1.0,0,5.5095193617578975,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,6,exact,0.4065000102855265,1.0,1.0,33,31.943402142168992,0.03201811690396994,27,2.074074074074074,18,9.71717955142654,0,33,4967,0,0,33,,,,,,,,0,,,,,,partition_ann,0.21989998640492558,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,6,global_filter,2.518199966289103,0.3,1.0,33,31.943402142168992,0.03201811690396994,27,2.074074074074074,18,9.71717955142654,0,200,197,0,5,3,,,,,,,,0,,,,,,partition_ann,0.21989998640492558,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,6,partition_ann,0.21989998640492558,1.0,1.0,33,31.943402142168992,0.03201811690396994,27,2.074074074074074,18,9.71717955142654,0,56,23,27,0,33,,,,,,,,0,,,,,,partition_ann,0.21989998640492558,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,6,hybrid,0.2090999623760581,1.0,1.0,33,31.943402142168992,0.03201811690396994,27,2.074074074074074,18,9.71717955142654,0,56,23,27,0,33,RuleBasedPlanner,partition_ann,31.943402142168992,27,2.074074074074074,18,9.71717955142654,0,5000,0,0.0,0.0,0.8452449704584495,partition_ann,0.21989998640492558,1.0,1,-0.04911334559603034,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,7,exact,0.3608999541029334,1.0,1.0,33,33.14083710325713,0.004267791007791719,28,2.0357142857142856,18,9.71717955142654,0,33,4967,0,0,33,,,,,,,,0,,,,,,partition_ann,0.1474000164307654,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,7,global_filter,2.5340000283904374,0.3,1.0,33,33.14083710325713,0.004267791007791719,28,2.0357142857142856,18,9.71717955142654,0,200,197,0,5,3,,,,,,,,0,,,,,,partition_ann,0.1474000164307654,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,7,partition_ann,0.1474000164307654,1.0,1.0,33,33.14083710325713,0.004267791007791719,28,2.0357142857142856,18,9.71717955142654,0,57,24,28,0,33,,,,,,,,0,,,,,,partition_ann,0.1474000164307654,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,7,hybrid,0.1453000004403293,1.0,1.0,33,33.14083710325713,0.004267791007791719,28,2.0357142857142856,18,9.71717955142654,0,57,24,28,0,33,RuleBasedPlanner,partition_ann,33.14083710325713,28,2.0357142857142856,18,9.71717955142654,0,5000,0,0.0,0.0,0.8448790811396892,partition_ann,0.1474000164307654,1.0,1,-0.01424705397792453,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,8,exact,0.3269000444561243,1.0,1.0,5,5.0,0.0,5,1.0,18,9.329576228708802,0,5,4995,0,0,5,,,,,,,,0,,,,,,partition_ann,0.0800999696366489,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,8,global_filter,2.6162000140175223,0.2,1.0,5,5.0,0.0,5,1.0,18,9.329576228708802,0,200,199,0,5,1,,,,,,,,0,,,,,,partition_ann,0.0800999696366489,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,8,partition_ann,0.0800999696366489,1.0,1.0,5,5.0,0.0,5,1.0,18,9.329576228708802,0,5,0,5,0,5,,,,,,,,0,,,,,,partition_ann,0.0800999696366489,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,8,hybrid,0.3364000003784895,1.0,1.0,5,5.0,0.0,5,1.0,18,9.329576228708802,0,5,4995,0,0,5,RuleBasedPlanner,exact,5.0,5,1.0,18,9.329576228708802,0,5000,0,0.0,0.0,1.0,partition_ann,0.0800999696366489,1.0,0,3.1997519088268573,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,9,exact,0.3761000116355717,1.0,1.0,11,11.7932126320574,0.07211023927794552,5,3.4,18,9.71717955142654,1,11,4989,0,0,11,,,,,,,,0,,,,,,partition_ann,0.11530000483617187,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,9,global_filter,2.6863000239245594,0.1,1.0,11,11.7932126320574,0.07211023927794552,5,3.4,18,9.71717955142654,1,200,199,0,5,1,,,,,,,,0,,,,,,partition_ann,0.11530000483617187,1.0,0,0.0,0.0,5000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
static_n5000_d32,11,9,partition_ann,0.11530000483617187,1.0,1.0,11,11.7932126320574,0.07211023927794552,5,3.4,18,9.71717955142654,1,17,6,5,0,11,,,,,,,,0,,,,,,partition_ann,0.11530000483617187,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,9,hybrid,0.3869000356644392,1.0,1.0,11,11.7932126320574,0.07211023927794552,5,3.4,18,9.71717955142654,1,11,4989,0,0,11,RuleBasedPlanner,exact,11.7932126320574,5,3.4,18,9.71717955142654,1,5000,0,0.0,0.0,0.4239726829319212,partition_ann,0.11530000483617187,1.0,0,2.355594270912477,0.0,5000.0,0.0,0.0,1.0,2872.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n5000_d32,11,10,exact,0.3797999816015363,1.0,1.0,39,41.05786497414442,0.0527657685678057,21,2.4761904761904763,18,9.71717955142654,0,39,4961,0,0,39,,,,,,,,0,,,,,,partition_ann,0.16280001727864146,1.0,0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
